"","variable","mean","sd","q5","q95","rhat","ess_bulk"
"30","beta[21]",0.53732418265,0.213387611890225,0.19895155,0.90597275,1.00058180612572,2309.51187911937
"31","beta[22]",0.163218861193875,0.224890897774121,-0.191861,0.54884185,1.00143155264223,4687.08856683409
"32","beta[23]",-0.045862362118375,0.195513670612199,-0.3724373,0.2770244,1.00083595251884,4063.89237524852
"33","beta[24]",0.11660243081319,0.169985437867614,-0.16106205,0.39916605,1.00318435655303,2823.82385918473
"34","beta[25]",-0.0391000341081,0.182208423356751,-0.3416051,0.2657266,1.00032813716422,2743.69150493693
"35","beta[26]",0.03826113139385,0.239619211928152,-0.364933,0.4286199,1.00072027312738,2197.53050140713
"36","beta[27]",0.000723301317925,0.332188809514462,-0.55037695,0.54178165,1.00099904838737,5638.27446374169
"37","beta[28]",0.012341107962725,0.218766088413872,-0.34996525,0.37198,1.00133027990849,3777.54244457519
"38","beta[29]",-0.16963982807975,0.208582202738064,-0.52742525,0.1669828,1.0028061989098,3997.01755785731
"39","beta[30]",-0.4678302665175,0.217699318450101,-0.84001005,-0.12525855,1.00240950379653,1750.31858693079
"40","beta[31]",-0.004445465797575,0.311251788956082,-0.5191562,0.49884305,1.00321787662124,6401.27829473727
"41","gamma[1]",-0.164157086308675,0.285202109087659,-0.6038152,0.1906932,1.00167221918819,796.085670416818
"42","gamma[2]",-0.009941710970425,0.284254706506748,-0.44106795,0.37256075,1.00114692778409,853.84924150658
"43","gamma[3]",0.128744113838675,0.286786017725475,-0.2903584,0.541578049999999,1.00078456291301,891.069564782199
"44","gamma[4]",-0.0054843875185,0.485049716059208,-0.6483775,0.66800005,1.00676104737819,1665.30794829573
"45","delta_raw[1]",-0.0268765435266775,0.0381805708893386,-0.093024495,0.03019459,1.0011348340432,4221.0429170101
"46","epsilon_raw[1]",0.196129386165,0.0564638277849794,0.1023139,0.28757225,1.00170752324651,3495.29494154687
"47","zeta[1]",-0.0237079348702,0.216436987289757,-0.35572615,0.286298849999999,1.0038628221047,697.267193142477
"48","zeta[2]",0.081982537008875,0.220176769075759,-0.1656228,0.4484948,1.00416729134109,715.369775215798
"49","zeta[3]",-0.02400842095985,0.219424044358739,-0.3664979,0.29588505,1.00485479731178,813.466228446777
"50","delta[1]",-0.0268765435266775,0.0381805708893386,-0.093024495,0.03019459,1.0011348340432,4221.0429170101
"51","delta[2]",0.0268765435266775,0.0381805708893386,-0.03019459,0.0930244949999999,1.0011348340432,4221.04291701009
"52","epsilon[1]",0.196129386165,0.0564638277849794,0.1023139,0.28757225,1.00170752324651,3495.29494154687
"53","epsilon[2]",-0.196129386165,0.0564638277849794,-0.28757225,-0.1023139,1.00170752324651,3495.29494154687
"54","gender_effect",0.0537530829587025,0.0763611268583153,-0.06038908,0.1860492,1.00113493808844,4221.05962717138
"55","hukou_effect",-0.392258780875,0.112927660985628,-0.57514445,-0.2046278,1.00170753711165,3495.29511912719
